NOME,FASE_2022,NIVEL_IDEAL_2022
ALUNO-290,2,Fase 2 (5º e 6º ano)
ALUNO-291,2,Fase 3 (7º e 8º ano)
ALUNO-292,6,Fase 7 (3º EM)
ALUNO-293,5,Fase 6 (2º EM)
ALUNO-294,0,ALFA  (2º e 3º ano)
ALUNO-295,2,Fase 2 (5º e 6º ano)
ALUNO-296,2,Fase 3 (7º e 8º ano)
ALUNO-297,,
ALUNO-298,1,Fase 4 (9º ano)
ALUNO-299,,
ALUNO-300,,
ALUNO-301,2,Fase 2 (5º e 6º ano)
ALUNO-302,0,ALFA  (2º e 3º ano)
ALUNO-303,,
ALUNO-304,0,Fase 1 (4º ano)
ALUNO-305,4,Fase 5 (1º EM)
ALUNO-306,,
ALUNO-307,3,Fase 3 (7º e 8º ano)
ALUNO-308,0,Fase 2 (5º e 6º ano)
ALUNO-309,,
ALUNO-310,,
ALUNO-311,0,Fase 1 (4º ano)
ALUNO-312,3,Fase 3 (7º e 8º ano)
ALUNO-313,1,Fase 3 (7º e 8º ano)
ALUNO-314,2,Fase 3 (7º e 8º ano)
ALUNO-315,,
ALUNO-316,3,Fase 3 (7º e 8º ano)
ALUNO-317,0,Fase 2 (5º e 6º ano)
ALUNO-318,,
ALUNO-319,,
ALUNO-320,2,Fase 2 (5º e 6º ano)
ALUNO-321,,
ALUNO-322,1,Fase 2 (5º e 6º ano)
ALUNO-323,1,Fase 3 (7º e 8º ano)
ALUNO-324,,
ALUNO-325,0,Fase 1 (4º ano)
ALUNO-326,0,Fase 1 (4º ano)
ALUNO-327,0,ALFA  (2º e 3º ano)
ALUNO-328,,
ALUNO-329,,
ALUNO-330,3,Fase 3 (7º e 8º ano)
ALUNO-331,1,Fase 1 (4º ano)
ALUNO-332,2,Fase 2 (5º e 6º ano)
ALUNO-333,0,ALFA  (2º e 3º ano)
ALUNO-334,0,ALFA  (2º e 3º ano)
ALUNO-335,,
ALUNO-336,0,Fase 2 (5º e 6º ano)
ALUNO-337,6,Fase 7 (3º EM)
ALUNO-338,,
ALUNO-339,,
ALUNO-340,5,Fase 6 (2º EM)
ALUNO-341,,
ALUNO-342,3,Fase 3 (7º e 8º ano)
ALUNO-343,,
ALUNO-344,,
